subj,exp_num,env_num,item_num,trial_num,dot_color
AA7BTDZQNHW5,1,23,2,7,5
AA7BTDZQNHW5,1,23,3,7,3
AA7BTDZQNHW5,1,23,4,7,3
AA7BTDZQNHW5,1,23,5,7,3
AA7BTDZQNHW5,1,23,6,7,3
AA7BTDZQNHW5,1,23,7,7,2
AA7BTDZQNHW5,1,23,8,7,2
AA7BTDZQNHW5,1,23,9,7,2
AA7BTDZQNHW5,1,23,10,7,1
AA7BTDZQNHW5,1,23,11,7,4
AA7BTDZQNHW5,1,23,12,7,4
AA7BTDZQNHW5,1,23,13,7,1
AA7BTDZQNHW5,1,23,14,7,1
AA7BTDZQNHW5,1,23,15,7,3
A1NEC7KD6B45HH,1,20,1,8,3
A1NEC7KD6B45HH,1,20,2,8,3
A1NEC7KD6B45HH,1,20,3,8,3
A1NEC7KD6B45HH,1,20,4,8,3
A1NEC7KD6B45HH,1,20,5,8,3
A1NEC7KD6B45HH,1,20,6,8,3
A1NEC7KD6B45HH,1,20,7,8,1
A1NEC7KD6B45HH,1,20,8,8,1
A1NEC7KD6B45HH,1,20,9,8,1
A1NEC7KD6B45HH,1,20,10,8,1
A1NEC7KD6B45HH,1,20,11,8,1
A1NEC7KD6B45HH,1,20,12,8,1
A1NEC7KD6B45HH,1,20,13,8,1
A1NEC7KD6B45HH,1,20,14,8,1
A1NEC7KD6B45HH,1,20,15,8,2
A27GZN1JOOIAUW,1,10,1,9,2
A27GZN1JOOIAUW,1,10,2,9,2
A27GZN1JOOIAUW,1,10,3,9,3
A27GZN1JOOIAUW,1,10,4,9,3
A27GZN1JOOIAUW,1,10,5,9,3
A27GZN1JOOIAUW,1,10,6,9,1
A27GZN1JOOIAUW,1,10,7,9,1
A27GZN1JOOIAUW,1,10,8,9,1
A27GZN1JOOIAUW,1,10,9,9,1
A27GZN1JOOIAUW,1,10,10,9,1
A27GZN1JOOIAUW,1,10,11,9,1
A27GZN1JOOIAUW,1,10,12,9,1
A27GZN1JOOIAUW,1,10,13,9,1
A27GZN1JOOIAUW,1,10,14,9,1
A27GZN1JOOIAUW,1,10,15,9,1
A2OG4QIW2BK2EV,1,17,1,10,1
A2OG4QIW2BK2EV,1,17,2,10,1
A2OG4QIW2BK2EV,1,17,3,10,1
A2OG4QIW2BK2EV,1,17,4,10,1
A2OG4QIW2BK2EV,1,17,5,10,1
A2OG4QIW2BK2EV,1,17,6,10,1
A2OG4QIW2BK2EV,1,17,7,10,1
A2OG4QIW2BK2EV,1,17,8,10,1
A2OG4QIW2BK2EV,1,17,9,10,1
A2OG4QIW2BK2EV,1,17,10,10,1
A2OG4QIW2BK2EV,1,17,11,10,1
A2OG4QIW2BK2EV,1,17,12,10,1
A2OG4QIW2BK2EV,1,17,13,10,1
A2OG4QIW2BK2EV,1,17,14,10,1
A2OG4QIW2BK2EV,1,17,15,10,1
A2OG4QIW2BK2EV,1,11,1,11,1
A2OG4QIW2BK2EV,1,11,2,11,1
A2OG4QIW2BK2EV,1,11,3,11,1
A2OG4QIW2BK2EV,1,11,4,11,1
A2OG4QIW2BK2EV,1,11,5,11,1
A2OG4QIW2BK2EV,1,11,6,11,1
A2OG4QIW2BK2EV,1,11,7,11,1
A2OG4QIW2BK2EV,1,11,8,11,1
A2OG4QIW2BK2EV,1,11,9,11,1
A2OG4QIW2BK2EV,1,11,10,11,1
A2OG4QIW2BK2EV,1,11,11,11,1
A2OG4QIW2BK2EV,1,11,12,11,1
A2OG4QIW2BK2EV,1,11,13,11,1
A2OG4QIW2BK2EV,1,11,14,11,1
A2OG4QIW2BK2EV,1,11,15,11,1
A27GZN1JOOIAUW,1,22,1,12,2
A27GZN1JOOIAUW,1,22,2,12,2
A27GZN1JOOIAUW,1,22,3,12,3
A27GZN1JOOIAUW,1,22,4,12,4
A27GZN1JOOIAUW,1,22,5,12,1
A27GZN1JOOIAUW,1,22,6,12,1
A27GZN1JOOIAUW,1,22,7,12,4
A27GZN1JOOIAUW,1,22,8,12,4
A27GZN1JOOIAUW,1,22,9,12,4
A27GZN1JOOIAUW,1,22,10,12,4
A27GZN1JOOIAUW,1,22,11,12,4
A27GZN1JOOIAUW,1,22,12,12,4
A27GZN1JOOIAUW,1,22,13,12,4
A27GZN1JOOIAUW,1,22,14,12,1
A27GZN1JOOIAUW,1,22,15,12,4
A27GZN1JOOIAUW,1,14,1,13,1
A27GZN1JOOIAUW,1,14,2,13,1
A27GZN1JOOIAUW,1,14,3,13,1
A27GZN1JOOIAUW,1,14,4,13,1
A27GZN1JOOIAUW,1,14,5,13,1
A27GZN1JOOIAUW,1,14,6,13,2
A27GZN1JOOIAUW,1,14,7,13,2
A27GZN1JOOIAUW,1,14,8,13,2
A27GZN1JOOIAUW,1,14,9,13,2
A27GZN1JOOIAUW,1,14,10,13,2
A27GZN1JOOIAUW,1,14,11,13,2
A27GZN1JOOIAUW,1,14,12,13,2
A27GZN1JOOIAUW,1,14,13,13,2
A27GZN1JOOIAUW,1,14,14,13,2
A27GZN1JOOIAUW,1,14,15,13,2
A2OG4QIW2BK2EV,1,6,1,14,1
A2OG4QIW2BK2EV,1,6,2,14,1
A2OG4QIW2BK2EV,1,6,3,14,1
A2OG4QIW2BK2EV,1,6,4,14,1
A2OG4QIW2BK2EV,1,6,5,14,1
A2OG4QIW2BK2EV,1,6,6,14,1
A2OG4QIW2BK2EV,1,6,7,14,1
A2OG4QIW2BK2EV,1,6,8,14,1
A2OG4QIW2BK2EV,1,6,9,14,1
A2OG4QIW2BK2EV,1,6,10,14,1
A2OG4QIW2BK2EV,1,6,11,14,1
A2OG4QIW2BK2EV,1,6,12,14,1
A2OG4QIW2BK2EV,1,6,13,14,1
A2OG4QIW2BK2EV,1,6,14,14,1
A2OG4QIW2BK2EV,1,6,15,14,1
