exp_num,env_num,item_num,x,y
1,17,10,140,134
1,17,11,196,140
1,17,12,195,12
1,17,13,65,224
1,17,14,98,193
1,17,15,128,225
1,18,1,-155,-58
1,18,2,-148,9
1,18,3,-56,52
1,18,4,-77,136
1,18,5,5,146
1,18,6,112,64
1,18,7,57,13
1,18,8,-24,-32
1,18,9,-32,-78
1,18,10,-49,-123
1,18,11,76,-55
1,18,12,42,-117
1,18,13,52,-190
1,18,14,97,-153
1,18,15,142,-111
1,19,1,-141,-109
1,19,2,-109,-117
1,19,3,-59,-134
1,19,4,-145,-90
1,19,5,-125,-90
1,19,6,-100,-91
1,19,7,-67,-102
1,19,8,-150,-32
1,19,9,-129,-30
1,19,10,-77,-26
1,19,11,-68,-5
1,19,12,-87,-62
1,19,13,-55,-71
1,19,14,-39,-92
1,19,15,-87,-121
1,20,1,142,-27
1,20,2,173,-57
1,20,3,193,-85
1,20,4,213,-116
1,20,5,116,-63
1,20,6,146,-93
1,20,7,66,-86
1,20,8,93,-116
1,20,9,119,-135
1,20,10,145,-172
1,20,11,162,-192
1,20,12,62,-134
1,20,13,82,-160
1,20,14,6,-142
1,20,15,35,-188
1,21,1,-78,-162
1,21,2,-53,-121
1,21,3,-31,-86
1,21,4,50,-149
1,21,5,23,-130
1,21,6,-3,-108
1,21,7,-59,-62
1,21,8,-100,-35
1,21,9,-131,-18
1,21,10,-64,-28
1,21,11,-8,10
1,21,12,-36,33
1,21,13,-65,63
1,21,14,-36,-9
1,21,15,-86,3
1,22,1,47,-176
1,22,2,16,-115
1,22,3,-1,-64
1,22,4,88,80
1,22,5,-17,4
1,22,6,23,47
1,22,7,114,-53
1,22,8,164,-60
1,22,9,73,-25
1,22,10,95,25
1,22,11,130,16
1,22,12,177,-10
1,22,13,127,-110
1,22,14,-31,70
1,22,15,152,66
1,23,1,170,-132
1,23,2,-101,152
1,23,3,-224,78
1,23,4,-196,-50
1,23,5,-125,1
1,23,6,-84,-45
1,23,7,-69,89
1,23,8,-68,19
1,23,9,-48,-13
1,23,10,5,88
1,23,11,87,98
1,23,12,181,62
1,23,13,-9,-73
1,23,14,4,23
1,23,15,-136,43
1,24,1,218.17,116.37
1,24,2,35.6,133.39
1,24,3,-0.11,0.51
1,24,4,166.7,-179.79
1,24,5,16.34,72.81
1,24,6,-118.92,-72.65
1,24,7,73.62,85.51
1,24,8,219.56,-80.94
1,24,9,-24.95,-58.61
1,24,10,-58.54,204.19
1,24,11,-50.02,118.58
1,24,12,131.74,17.22
1,24,13,16.77,-16.69
1,24,14,-0.62,-258.96
1,24,15,101.51,-155.74
1,25,1,-79,-88
1,25,2,-89,-42
1,25,3,-89,3
1,25,4,-68,43
1,25,5,-31,61
1,25,6,-61,126
1,25,7,8,-124
1,25,8,49,-76
1,25,9,54,-20
1,25,10,52,29
1,25,11,-28,-71
1,25,12,-28,-60
1,25,13,-25,-42
1,25,14,-21,-27
1,25,15,-16,-14
2,1,1,81.9,-153
2,1,2,-171.1,-5
2,1,3,-167.1,18
2,1,4,-185.1,34
2,1,5,-174.1,42
2,1,6,-177.1,59
2,1,7,-198.1,74
2,1,8,-209.1,51
2,1,9,-223.1,40
2,1,10,-217.1,20
2,1,11,41.9,157
2,1,12,84.9,183
2,1,13,58.9,159
2,1,14,79.9,174
2,1,15,86.9,152
2,2,1,55,182
2,2,2,80,168
2,2,3,63,123
2,2,4,87,131
2,2,5,115,125
2,2,6,143,112
2,2,7,165,139
2,2,8,133,162
2,2,9,109,182
2,2,10,-209,-99
2,2,11,-177,-78
2,2,12,-149,-87
2,2,13,-129,-115
2,2,14,-120,-152
2,2,15,-136,-183
2,3,1,143,-122
2,3,2,124,-89
2,3,3,102,-60
2,3,4,83,-34
2,3,5,62,-5
2,3,6,41,18
2,3,7,3,-78
2,3,8,35,-115
2,3,9,71,-91
2,3,10,48,-56
2,3,11,30,185
2,3,12,74,184
2,3,13,110,172
2,3,14,-173,-101
2,3,15,-191,-63
2,4,1,-44,-246
2,4,2,-91,-230
2,4,3,-140,-207
2,4,4,-58,-124
2,4,5,-40,-84
2,4,6,-28,-50
2,4,7,-13,-15
2,4,8,4,-43
2,4,9,13,-85
2,4,10,25,-126
2,4,11,69,-134
2,4,12,183,142
2,4,13,167,183
2,4,14,105,187
2,4,15,91,235
2,5,1,-170,22
2,5,2,-163,4
2,5,3,-32,-99
2,5,4,9,-82
2,5,5,177,115
2,5,6,163,141
2,5,7,22,233
2,5,8,-26,246
2,5,9,-83,-2
2,5,10,-20,43
2,5,11,34,35
2,5,12,15,25
2,5,13,-39,14
2,5,14,-22,70
2,5,15,36,90
2,6,1,-199,-99
2,6,2,-185,-70
2,6,3,-173,-36
2,6,4,-146,14
2,6,5,-140,61
2,6,6,-148,91
2,6,7,-194,105
2,6,8,-226,83
2,6,9,-137,179
2,6,10,-116,153
2,6,11,-95,133
2,6,12,-72,145
2,6,13,-52,173
2,6,14,-36,211
2,6,15,-29,238
2,7,1,35,-119
2,7,2,56,-93
2,7,3,67,-55
2,7,4,97,20
2,7,5,83,-17
2,7,6,98,47
2,7,7,88,84
2,7,8,-219,36
2,7,9,-146,-38
2,7,10,-135,-54
2,7,11,-96,-49
2,7,12,-94,-26
2,7,13,-82,12
2,7,14,-67,-73
2,7,15,-63,-62
2,8,1,117,4
2,8,2,90,52
2,8,3,56,83
2,8,4,5,88
2,8,5,-39,89
2,8,6,-67,74
2,8,7,-99,54
2,8,8,-18,-48
2,8,9,-35,-29
2,8,10,-53,-8
2,8,11,-40,-60
2,8,12,-57,-42
2,8,13,-69,-24
2,8,14,-79,-68
2,8,15,-96,-51
2,9,1,-106,-43
2,9,2,-61,-16
2,9,3,-3,-14
2,9,4,72,-27
2,9,5,-14,-84
2,9,6,-10,-124
2,9,7,-163,-140
2,9,8,-147,-183
2,9,9,-120,-198
2,9,10,-113,-166
2,9,11,-107,-145
2,9,12,45,-147
2,9,13,54,-173
2,9,14,74,-197
2,9,15,88,-154
2,10,1,-37,190
2,10,2,1,178
2,10,3,38,149
2,10,4,61,116
2,10,5,-105,-235
2,10,6,-75,-132
2,10,7,58,-115
2,10,8,107,-212
2,10,9,-67,-78
2,10,10,-41,-46
2,10,11,12,-15
2,10,12,-45,23
2,10,13,-5,34
2,10,14,-61,2
2,10,15,-26,-12
2,11,1,-31,90
2,11,2,-27,56
2,11,3,-66,44
2,11,4,-119,38
2,11,5,-109,-7
2,11,6,-94,-43
2,11,7,-67,-79
2,11,8,-23,-108
2,11,9,13,-107
2,11,10,62,-86
2,11,11,81,-47
2,11,12,87,-4
2,11,13,58,20
2,11,14,30,12
2,11,15,30,40
